timestamp,stars,repository_id
2013-05-29,178,facebook/react
2013-05-30,765,facebook/react
2013-05-31,936,facebook/react
2013-06-01,981,facebook/react
2013-06-02,1007,facebook/react
2013-06-03,1054,facebook/react
2013-06-04,1076,facebook/react
2013-06-05,1120,facebook/react
2013-06-06,1147,facebook/react
2013-06-07,1182,facebook/react
2013-06-08,1203,facebook/react
2013-06-09,1222,facebook/react
2013-06-10,1236,facebook/react
2013-06-11,1244,facebook/react
2013-06-12,1254,facebook/react
2013-06-13,1266,facebook/react
2013-06-14,1276,facebook/react
2013-06-15,1280,facebook/react
2013-06-16,1284,facebook/react
2013-06-17,1295,facebook/react
2013-06-18,1302,facebook/react
2013-06-19,1308,facebook/react
2013-06-20,1314,facebook/react
2013-06-21,1320,facebook/react
2013-06-22,1324,facebook/react
2013-06-23,1329,facebook/react
2013-06-24,1347,facebook/react
2013-06-25,1355,facebook/react
2013-06-26,1359,facebook/react
2013-06-27,1361,facebook/react
2013-06-28,1365,facebook/react
2013-06-29,1373,facebook/react
2013-06-30,1380,facebook/react
2013-07-01,1384,facebook/react
2013-07-02,1392,facebook/react
2013-07-03,1397,facebook/react
2013-07-04,1402,facebook/react
2013-07-05,1406,facebook/react
2013-07-06,1411,facebook/react
2013-07-07,1415,facebook/react
2013-07-08,1415,facebook/react
2013-07-09,1419,facebook/react
2013-07-10,1424,facebook/react
2013-07-11,1426,facebook/react
2013-07-12,1428,facebook/react
2013-07-13,1433,facebook/react
2013-07-14,1434,facebook/react
2013-07-15,1436,facebook/react
2013-07-16,1439,facebook/react
2013-07-17,1450,facebook/react
2013-07-18,1463,facebook/react
2013-07-19,1468,facebook/react
2013-07-20,1470,facebook/react
2013-07-21,1475,facebook/react
2013-07-22,1480,facebook/react
2013-07-23,1485,facebook/react
2013-07-24,1489,facebook/react
2013-07-25,1492,facebook/react
2013-07-26,1496,facebook/react
2013-07-27,1496,facebook/react
2013-07-28,1499,facebook/react
2013-07-29,1500,facebook/react
2013-07-30,1508,facebook/react
2013-07-31,1512,facebook/react
2013-08-01,1515,facebook/react
2013-08-02,1517,facebook/react
2013-08-03,1520,facebook/react
2013-08-04,1523,facebook/react
2013-08-05,1529,facebook/react
2013-08-06,1531,facebook/react
2013-08-07,1542,facebook/react
2013-08-08,1550,facebook/react
2013-08-09,1552,facebook/react
2013-08-10,1553,facebook/react
2013-08-11,1553,facebook/react
2013-08-12,1553,facebook/react
2013-08-13,1553,facebook/react
2013-08-14,1555,facebook/react
2013-08-15,1565,facebook/react
2013-08-16,1577,facebook/react
2013-08-17,1587,facebook/react
2013-08-18,1590,facebook/react
2013-08-19,1594,facebook/react
2013-08-20,1603,facebook/react
2013-08-21,1609,facebook/react
2013-08-22,1614,facebook/react
2013-08-23,1624,facebook/react
2013-08-24,1624,facebook/react
2013-08-25,1625,facebook/react
2013-08-26,1627,facebook/react
2013-08-27,1639,facebook/react
2013-08-28,1658,facebook/react
2013-08-29,1661,facebook/react
2013-08-30,1672,facebook/react
2013-08-31,1677,facebook/react
2013-09-01,1681,facebook/react
2013-09-02,1688,facebook/react
2013-09-03,1696,facebook/react
2013-09-04,1703,facebook/react
2013-09-05,1708,facebook/react
2013-09-06,1714,facebook/react
2013-09-07,1714,facebook/react
2013-09-08,1718,facebook/react
2013-09-09,1721,facebook/react
2013-09-10,1723,facebook/react
2013-09-11,1732,facebook/react
2013-09-12,1736,facebook/react
2013-09-13,1738,facebook/react
2013-09-14,1740,facebook/react
2013-09-15,1747,facebook/react
2013-09-16,1757,facebook/react
2013-09-17,1763,facebook/react
2013-09-18,1771,facebook/react
2013-09-19,1777,facebook/react
2013-09-20,1782,facebook/react
2013-09-21,1785,facebook/react
2013-09-22,1790,facebook/react
2013-09-23,1797,facebook/react
2013-09-24,1803,facebook/react
2013-09-25,1808,facebook/react
2013-09-26,1810,facebook/react
2013-09-27,1816,facebook/react
2013-09-28,1819,facebook/react
2013-09-29,1822,facebook/react
2013-09-30,1824,facebook/react
2013-10-01,1831,facebook/react
2013-10-02,1835,facebook/react
2013-10-03,1840,facebook/react
2013-10-04,1843,facebook/react
2013-10-05,1846,facebook/react
2013-10-06,1851,facebook/react
2013-10-07,1854,facebook/react
2013-10-08,1858,facebook/react
2013-10-09,1860,facebook/react
2013-10-10,1863,facebook/react
2013-10-11,1866,facebook/react
2013-10-12,1869,facebook/react
2013-10-13,1871,facebook/react
2013-10-14,1873,facebook/react
2013-10-15,1876,facebook/react
2013-10-16,1877,facebook/react
2013-10-17,1882,facebook/react
2013-10-18,1889,facebook/react
2013-10-19,1892,facebook/react
2013-10-20,1893,facebook/react
2013-10-21,1900,facebook/react
2013-10-22,1904,facebook/react
2013-10-23,1921,facebook/react
2013-10-24,1935,facebook/react
2013-10-25,1939,facebook/react
2013-10-26,1944,facebook/react
2013-10-27,1946,facebook/react
2013-10-28,1950,facebook/react
2013-10-29,1993,facebook/react
2013-10-30,2003,facebook/react
2013-10-31,2012,facebook/react
2013-11-01,2016,facebook/react
2013-11-02,2018,facebook/react
2013-11-03,2031,facebook/react
2013-11-04,2039,facebook/react
2013-11-05,2063,facebook/react
2013-11-06,2073,facebook/react
2013-11-07,2086,facebook/react
2013-11-08,2087,facebook/react
2013-11-09,2090,facebook/react
2013-11-10,2094,facebook/react
2013-11-11,2098,facebook/react
2013-11-12,2105,facebook/react
2013-11-13,2117,facebook/react
2013-11-14,2124,facebook/react
2013-11-15,2134,facebook/react
2013-11-16,2153,facebook/react
2013-11-17,2162,facebook/react
2013-11-18,2173,facebook/react
2013-11-19,2177,facebook/react
2013-11-20,2180,facebook/react
2013-11-21,2186,facebook/react
2013-11-22,2200,facebook/react
2013-11-23,2206,facebook/react
2013-11-24,2212,facebook/react
2013-11-25,2225,facebook/react
2013-11-26,2228,facebook/react
2013-11-27,2234,facebook/react
2013-11-28,2242,facebook/react
2013-11-29,2249,facebook/react
2013-11-30,2250,facebook/react
2013-12-01,2254,facebook/react
2013-12-02,2263,facebook/react
2013-12-03,2275,facebook/react
2013-12-04,2285,facebook/react
2013-12-05,2304,facebook/react
2013-12-06,2308,facebook/react
2013-12-07,2311,facebook/react
2013-12-08,2317,facebook/react
2013-12-09,2330,facebook/react
2013-12-10,2340,facebook/react
2013-12-11,2348,facebook/react
2013-12-12,2357,facebook/react
2013-12-13,2364,facebook/react
2013-12-14,2374,facebook/react
2013-12-15,2381,facebook/react
2013-12-16,2402,facebook/react
2013-12-17,2412,facebook/react
2013-12-18,2419,facebook/react
2013-12-19,2485,facebook/react
2013-12-20,2649,facebook/react
2013-12-21,2737,facebook/react
2013-12-22,2797,facebook/react
2013-12-23,2868,facebook/react
2013-12-24,2902,facebook/react
2013-12-25,2931,facebook/react
2013-12-26,2963,facebook/react
2013-12-27,2987,facebook/react
2013-12-28,3011,facebook/react
2013-12-29,3027,facebook/react
2013-12-30,3038,facebook/react
2013-12-31,3056,facebook/react
2014-01-01,3086,facebook/react
2014-01-02,3141,facebook/react
2014-01-03,3189,facebook/react
2014-01-04,3220,facebook/react
2014-01-05,3241,facebook/react
2014-01-06,3283,facebook/react
2014-01-07,3329,facebook/react
2014-01-08,3354,facebook/react
2014-01-09,3379,facebook/react
2014-01-10,3410,facebook/react
2014-01-11,3432,facebook/react
2014-01-12,3453,facebook/react
2014-01-13,3476,facebook/react
2014-01-14,3501,facebook/react
2014-01-15,3514,facebook/react
2014-01-16,3531,facebook/react
2014-01-17,3555,facebook/react
2014-01-18,3562,facebook/react
2014-01-19,3574,facebook/react
2014-01-20,3584,facebook/react
2014-01-21,3611,facebook/react
2014-01-22,3625,facebook/react
2014-01-23,3652,facebook/react
2014-01-24,3723,facebook/react
2014-01-25,3748,facebook/react
2014-01-26,3758,facebook/react
2014-01-27,3776,facebook/react
2014-01-28,3789,facebook/react
2014-01-29,3800,facebook/react
2014-01-30,3811,facebook/react
2014-01-31,3838,facebook/react
2014-02-01,3857,facebook/react
2014-02-02,3869,facebook/react
2014-02-03,3883,facebook/react
2014-02-04,3905,facebook/react
2014-02-05,3918,facebook/react
2014-02-06,3933,facebook/react
2014-02-07,3950,facebook/react
2014-02-08,3956,facebook/react
2014-02-09,3966,facebook/react
2014-02-10,3979,facebook/react
2014-02-11,3992,facebook/react
2014-02-12,4000,facebook/react
2014-02-13,4000,facebook/react
2014-02-14,4000,facebook/react
2014-02-15,4000,facebook/react
2014-02-16,4000,facebook/react
2014-02-17,4000,facebook/react
2014-02-18,4000,facebook/react
2014-02-19,4000,facebook/react
2014-02-20,4000,facebook/react
2014-02-21,4000,facebook/react
2014-02-22,4000,facebook/react
2014-02-23,4000,facebook/react
2014-02-24,4000,facebook/react
2014-02-25,4000,facebook/react
2014-02-26,4000,facebook/react
2014-02-27,4000,facebook/react
2014-02-28,4000,facebook/react
2014-03-01,4000,facebook/react
2014-03-02,4000,facebook/react
2014-03-03,4000,facebook/react
2014-03-04,4000,facebook/react
2014-03-05,4000,facebook/react
2014-03-06,4000,facebook/react
2014-03-07,4000,facebook/react
2014-03-08,4000,facebook/react
2014-03-09,4000,facebook/react
2014-03-10,4000,facebook/react
2014-03-11,4000,facebook/react
2014-03-12,4000,facebook/react
2014-03-13,4000,facebook/react
2014-03-14,4000,facebook/react
2014-03-15,4000,facebook/react
2014-03-16,4000,facebook/react
2014-03-17,4000,facebook/react
2014-03-18,4000,facebook/react
2014-03-19,4000,facebook/react
2014-03-20,4000,facebook/react
2014-03-21,4000,facebook/react
2014-03-22,4000,facebook/react
2014-03-23,4000,facebook/react
2014-03-24,4000,facebook/react
2014-03-25,4000,facebook/react
2014-03-26,4000,facebook/react
2014-03-27,4000,facebook/react
2014-03-28,4000,facebook/react
2014-03-29,4000,facebook/react
2014-03-30,4000,facebook/react
2014-03-31,4000,facebook/react
2014-04-01,4000,facebook/react
2014-04-02,4000,facebook/react
2014-04-03,4000,facebook/react
2014-04-04,4000,facebook/react
2014-04-05,4000,facebook/react
2014-04-06,4000,facebook/react
2014-04-07,4000,facebook/react
2014-04-08,4000,facebook/react
2014-04-09,4000,facebook/react
2014-04-10,4000,facebook/react
2014-04-11,4000,facebook/react
2014-04-12,4000,facebook/react
2014-04-13,4000,facebook/react
2014-04-14,4000,facebook/react
2014-04-15,4000,facebook/react
2014-04-16,4000,facebook/react
2014-04-17,4000,facebook/react
2014-04-18,4000,facebook/react
2014-04-19,4000,facebook/react
2014-04-20,4000,facebook/react
2014-04-21,4000,facebook/react
2014-04-22,4000,facebook/react
2014-04-23,4000,facebook/react
2014-04-24,4000,facebook/react
2014-04-25,4000,facebook/react
2014-04-26,4000,facebook/react
2014-04-27,4000,facebook/react
2014-04-28,4000,facebook/react
2014-04-29,4000,facebook/react
2014-04-30,4000,facebook/react
2014-05-01,4000,facebook/react
2014-05-02,4000,facebook/react
2014-05-03,4000,facebook/react
2014-05-04,4000,facebook/react
2014-05-05,4000,facebook/react
2014-05-06,4000,facebook/react
2014-05-07,4000,facebook/react
2014-05-08,4000,facebook/react
2014-05-09,4000,facebook/react
2014-05-10,4000,facebook/react
2014-05-11,4000,facebook/react
2014-05-12,4000,facebook/react
2014-05-13,4000,facebook/react
2014-05-14,4000,facebook/react
2014-05-15,4000,facebook/react
2014-05-16,4000,facebook/react
2014-05-17,4000,facebook/react
2014-05-18,4000,facebook/react
2014-05-19,4000,facebook/react
2014-05-20,4000,facebook/react
2014-05-21,4000,facebook/react
2014-05-22,4000,facebook/react
2014-05-23,4000,facebook/react
2014-05-24,4000,facebook/react
2014-05-25,4000,facebook/react
2014-05-26,4000,facebook/react
2014-05-27,4000,facebook/react
2014-05-28,4000,facebook/react
2014-05-29,4000,facebook/react
2014-05-30,4000,facebook/react
2014-05-31,4000,facebook/react
2014-06-01,4000,facebook/react
2014-06-02,4000,facebook/react
2014-06-03,4000,facebook/react
2014-06-04,4000,facebook/react
2014-06-05,4000,facebook/react
2014-06-06,4000,facebook/react
2014-06-07,4000,facebook/react
2014-06-08,4000,facebook/react
2014-06-09,4000,facebook/react
2014-06-10,4000,facebook/react
2014-06-11,4000,facebook/react
2014-06-12,4000,facebook/react
2014-06-13,4000,facebook/react
2014-06-14,4000,facebook/react
2014-06-15,4000,facebook/react
2014-06-16,4000,facebook/react
2014-06-17,4000,facebook/react
2014-06-18,4000,facebook/react
2014-06-19,4000,facebook/react
2014-06-20,4000,facebook/react
2014-06-21,4000,facebook/react
2014-06-22,4000,facebook/react
2014-06-23,4000,facebook/react
2014-06-24,4000,facebook/react
2014-06-25,4000,facebook/react
2014-06-26,4000,facebook/react
2014-06-27,4000,facebook/react
2014-06-28,4000,facebook/react
2014-06-29,4000,facebook/react
2014-06-30,4000,facebook/react
2014-07-01,4000,facebook/react
2014-07-02,4000,facebook/react
2014-07-03,4000,facebook/react
2014-07-04,4000,facebook/react
2014-07-05,4000,facebook/react
2014-07-06,4000,facebook/react
2014-07-07,4000,facebook/react
2014-07-08,4000,facebook/react
2014-07-09,4000,facebook/react
2014-07-10,4000,facebook/react
2014-07-11,4000,facebook/react
2014-07-12,4000,facebook/react
2014-07-13,4000,facebook/react
2014-07-14,4000,facebook/react
2014-07-15,4000,facebook/react
2014-07-16,4000,facebook/react
2014-07-17,4000,facebook/react
2014-07-18,4000,facebook/react
2014-07-19,4000,facebook/react
2014-07-20,4000,facebook/react
2014-07-21,4000,facebook/react
2014-07-22,4000,facebook/react
2014-07-23,4000,facebook/react
2014-07-24,4000,facebook/react
2014-07-25,4000,facebook/react
2014-07-26,4000,facebook/react
2014-07-27,4000,facebook/react
2014-07-28,4000,facebook/react
2014-07-29,4000,facebook/react
2014-07-30,4000,facebook/react
2014-07-31,4000,facebook/react
2014-08-01,4000,facebook/react
2014-08-02,4000,facebook/react
2014-08-03,4000,facebook/react
2014-08-04,4000,facebook/react
2014-08-05,4000,facebook/react
2014-08-06,4000,facebook/react
2014-08-07,4000,facebook/react
2014-08-08,4000,facebook/react
2014-08-09,4000,facebook/react
2014-08-10,4000,facebook/react
2014-08-11,4000,facebook/react
2014-08-12,4000,facebook/react
2014-08-13,4000,facebook/react
2014-08-14,4000,facebook/react
2014-08-15,4000,facebook/react
2014-08-16,4000,facebook/react
2014-08-17,4000,facebook/react
2014-08-18,4000,facebook/react
2014-08-19,4000,facebook/react
2014-08-20,4000,facebook/react
2014-08-21,4000,facebook/react
2014-08-22,4000,facebook/react
2014-08-23,4000,facebook/react
2014-08-24,4000,facebook/react
2014-08-25,4000,facebook/react
2014-08-26,4000,facebook/react
2014-08-27,4000,facebook/react
2014-08-28,4000,facebook/react
2014-08-29,4000,facebook/react
2014-08-30,4000,facebook/react
2014-08-31,4000,facebook/react
2014-09-01,4000,facebook/react
2014-09-02,4000,facebook/react
2014-09-03,4000,facebook/react
2014-09-04,4000,facebook/react
2014-09-05,4000,facebook/react
2014-09-06,4000,facebook/react
2014-09-07,4000,facebook/react
2014-09-08,4000,facebook/react
2014-09-09,4000,facebook/react
2014-09-10,4000,facebook/react
2014-09-11,4000,facebook/react
2014-09-12,4000,facebook/react
2014-09-13,4000,facebook/react
2014-09-14,4000,facebook/react
2014-09-15,4000,facebook/react
2014-09-16,4000,facebook/react
2014-09-17,4000,facebook/react
2014-09-18,4000,facebook/react
2014-09-19,4000,facebook/react
2014-09-20,4000,facebook/react
2014-09-21,4000,facebook/react
2014-09-22,4000,facebook/react
2014-09-23,4000,facebook/react
2014-09-24,4000,facebook/react
2014-09-25,4000,facebook/react
2014-09-26,4000,facebook/react
2014-09-27,4000,facebook/react
2014-09-28,4000,facebook/react
2014-09-29,4000,facebook/react
2014-09-30,4000,facebook/react
2014-10-01,4000,facebook/react
2014-10-02,4000,facebook/react
2014-10-03,4000,facebook/react
2014-10-04,4000,facebook/react
